date,geography,geography code,tenure_of_household_owned_owns_outright,tenure_of_household_owned_owns_with_a_mortgage_or_loan,home_ownership_stability,home_ownership_stability_lower_2_5,home_ownership_stability_upper_97_5,tenure_of_household_private_rented_private_landlord_or_letting_agency,tenure_of_household_lives_rent_free,tenure_of_household_shared_ownership,rental_insecurity_score,rental_insecurity_score_lower_2_5,rental_insecurity_score_upper_97_5
2011,Ashfield,E07000170,31,18309,-0.23322212450729313,-1.901906327706042,1.4352994323700141,5908,64,501,-0.3506790424496509,-1.730558903842147,1.063303504856601
2021,Ashfield,E07000170,19484,17266,-0.03726333419066856,-1.5655151963152718,1.6056366516558604,8261,111,221,-0.31310634447948793,-1.7735478921653993,1.128111421676721
2021,Bassetlaw,E07000171,19442,15672,-0.02329529183677714,-1.5707377732779741,1.599409148245392,7210,79,217,-0.40264073831370567,-1.7904681449126796,0.9909953941488818
2011,Bassetlaw,E07000171,111,16820,-0.2547584701109993,-1.8544216681625305,1.2894019386449755,5362,91,411,-0.2914921025413694,-1.6354418935826405,1.1382880637300563
2021,Broxtowe,E07000172,19301,15153,0.00668877332510637,-1.4753457680021114,1.55330965360715,7409,65,151,-0.39253222010521843,-1.9123381061408573,1.0307468117659435
2011,Broxtowe,E07000172,143,16919,-0.26584194585179216,-1.897798423537178,1.3627361039372659,5902,114,435,-0.28375252952148317,-1.6962228754102537,1.0362242227912828
2021,Gedling,E07000173,20649,17417,0.03149437248919485,-1.5267036014750985,1.6409435390718887,7136,29,270,-0.42011261170136305,-1.8040219653177172,1.0355993238124703
2011,Gedling,E07000173,46,18535,-0.23001497166162804,-1.7916508635826505,1.3398471454459535,5850,75,517,-0.2964035599410422,-1.6662113490972772,1.1096919654081687
2021,Mansfield,E07000174,16668,14088,-0.11967946492017383,-1.7165262444117602,1.395759479527481,8156,131,214,-0.29646745726924484,-1.646352341626162,1.1109016242070597
2011,Mansfield,E07000174,23,15250,-0.3001207697221426,-1.874934553859593,1.2297940841201112,5616,51,425,-0.34527501268128674,-1.7251117316505185,1.0602199312377043
2021,Newark and Sherwood,E07000175,20525,16268,0.006742816517412954,-1.5727022619857185,1.6275470767653102,7476,65,437,-0.2926542538579964,-1.6900622667596745,1.1241635537030528
2011,Newark and Sherwood,E07000175,87,17056,-0.2930438941092973,-1.8240890034311488,1.2141039225773187,5648,81,462,-0.3112416708845554,-1.7410714619834735,1.146700921265373
2021,Rushcliffe,E07000176,20508,17253,0.014385151432894214,-1.5760529484756591,1.6058712040157794,6450,13,524,-0.3461074049390036,-1.7320020810059495,1.0404598698133685
2011,Rushcliffe,E07000176,45,17169,-0.2758819064565607,-1.808131940227272,1.26518920730712,5595,85,357,-0.35240298543718884,-1.6911797470917098,1.0716113200041233
2011,Cherwell,E07000177,233,21791,-0.18148460984223455,-1.6861417852117546,1.3385546531831378,8304,200,469,-0.13738692108866685,-1.6826734249241573,1.3502252833755213
2021,Cherwell,E07000177,21431,21408,0.09012243085078703,-1.4484860280016556,1.669020440965269,11453,26,1253,0.051800905252533336,-1.4223343314420653,1.5930880525651039
2011,Oxford,E07000178,277,12596,-0.33584509012061126,-1.8406099255880377,1.2518693775815701,14458,375,524,0.24446492954064125,-1.1619283486265848,1.6186192846743055
2021,Oxford,E07000178,13993,11042,-0.17095291725993544,-1.8103062931803968,1.4002906494648848,16150,95,793,0.0820898775621688,-1.3299469610324317,1.5100680916003786
2011,South Oxfordshire,E07000179,541,19348,-0.20102281176125544,-1.8293191726269515,1.3342075600045673,5999,317,354,-0.05179164413858656,-1.399095643397663,1.2782608859463482
2021,South Oxfordshire,E07000179,23180,20015,0.052111027408258105,-1.4650875156725591,1.5818895129617012,7921,17,1116,-0.09997891219151314,-1.4866597068128298,1.319440954036415
2011,Vale of White Horse,E07000180,625,17046,-0.2597282543109199,-1.75588674928606,1.2564018694632675,5423,381,304,0.02012811477961859,-1.391681529129267,1.381158599093725
2021,Vale of White Horse,E07000180,20812,18398,-0.02163991978165699,-1.5751909842035077,1.5859181879455584,7003,24,1055,-0.16975863941941594,-1.5267150462604802,1.2030717041204393
2011,West Oxfordshire,E07000181,628,15226,-0.2688233688912585,-1.831488075171852,1.3174027180095196,5108,351,336,-0.06938283791227391,-1.4558664545283548,1.344185899331128
2021,West Oxfordshire,E07000181,17963,14082,-0.09941285768952168,-1.737167353569715,1.51826354145394,6580,8,995,-0.16022237869643063,-1.5504809273416265,1.2450361283956874
2011,Mendip,E07000187,115,15051,-0.3064193109100278,-1.8616817285203693,1.2413669609496227,6449,69,503,-0.283779036246065,-1.7137706187703718,1.1451200741411616
2021,Mendip,E07000187,20657,13884,-0.052229526210145684,-1.6167349962198452,1.46899252947956,7770,20,605,-0.27494422653371786,-1.664704505074144,1.1544425271630772
2011,Sedgemoor,E07000188,93,16482,-0.26602795967059656,-1.733382121730951,1.3036717481642497,6380,84,556,-0.22309331871039517,-1.56050103098564,1.1551213343415543
2021,Sedgemoor,E07000188,21144,15677,-0.008205361233381803,-1.5923129565945857,1.5412442789322514,8494,52,493,-0.26826316674959816,-1.6986459214866756,1.1346870339529942
2011,South Somerset,E07000189,398,22137,-0.2065227677669094,-1.668491583582686,1.233528035664986,7881,272,721,0.07029545518157743,-1.4249562120098032,1.5091130298393411
2021,South Somerset,E07000189,31355,20226,0.20261726891368667,-1.334764686038576,1.7720093303690458,10552,48,840,-0.1378161368180364,-1.513100873484402,1.2358706878511083
2011,Taunton Deane,E07000190,126,15064,-0.3343520137966649,-1.871126062311679,1.1896804609914091,6506,137,458,-0.23678723187800957,-1.6172585694037895,1.2172587525359941
2021,Taunton Deane,E07000190,27731,18028,0.13919073242438748,-1.3612479596512357,1.6606648778537885,11118,88,655,-0.10812714927982099,-1.5213930700215663,1.3166676935205477
2011,West Somerset,E07000191,69,3397,-0.5110193456314086,-2.110995998129732,1.0764046114962957,2189,69,183,-0.4837401975295058,-1.8954090665707337,0.9321575867951077
2021,West Somerset,E07000191,27731,18028,0.0784262071775664,-1.4407800656423915,1.6394462745748648,11118,88,655,-0.10480888840563049,-1.4792150114997833,1.314474685962672
2011,Cannock Chase,E07000192,37,15718,-0.33246201670173725,-1.8513380731561595,1.2236148688266604,4509,41,351,-0.39611853706031047,-1.8747731346281642,1.0573232026190895
