geography,geography code,home_ownership_stability_2011,home_ownership_stability_2021,rental_insecurity_score_2011,rental_insecurity_score_2021
Dartford,E07000107,-0.29777027464686534,-0.06799183529859158,-0.40460179083235853,-0.11985830909829315
Daventry,E07000151,-0.35816980268880644,1.0043555343335373,-0.465553095703625,0.9954643706001841
Denbighshire,W06000004,-0.3253637293657861,-0.1543748169359505,-0.26613048886253454,-0.3853428362119809
Derby,E06000015,0.029205821493813226,0.39059914710823773,0.19975428195357184,0.2786698888769327
Derbyshire Dales,E07000035,-0.3720356565907576,-0.1812554422271597,-0.39063683098322444,-0.47919060602745084
Doncaster,E08000017,0.19757004282295038,0.6708438881997675,0.3402394619861626,0.4642070297099837
Dover,E07000108,-0.3034750974255153,-0.06841895051742884,-0.13324202489073417,-0.2946407997232888
Dudley,E08000027,0.18951720364596947,0.7423208014206866,-0.013736080908748706,0.40572342702298475
Ealing,E09000009,0.06953207766666379,0.38647243469986753,0.7417440925870332,1.2268821570395378
East Cambridgeshire,E07000009,-0.3380636493215361,-0.24651358024986578,-0.43771407096570936,-0.3752135377812235
East Devon,E07000040,-0.2902300789943536,0.18126974601308177,-0.11730984893352382,-0.09699594933184383
East Dorset,E07000049,-0.3393647394324547,1.0153363870463166,-0.4218809114062319,0.40483169113043926
East Hampshire,E07000085,-0.26188687346254913,0.036915231686350525,-0.22263008580663407,-0.21457281362250463
East Hertfordshire,E07000242,-0.17591384928002393,0.10400259404854402,-0.29863865055809186,-0.1558541832048353
